fila_excel,columna,descripcion
124,linea_id,ID 3 no existe en lineas. Convertido a NULL.
125,Id_cliente,ID 123 no existe en clients. Convertido a NULL.
125,linea_id,ID 3 no existe en lineas. Convertido a NULL.
126,Id_cliente,ID 124 no existe en clients. Convertido a NULL.
126,linea_id,ID 3 no existe en lineas. Convertido a NULL.
127,Id_cliente,ID 125 no existe en clients. Convertido a NULL.
127,linea_id,ID 3 no existe en lineas. Convertido a NULL.
128,Id_cliente,ID 126 no existe en clients. Convertido a NULL.
128,linea_id,ID 3 no existe en lineas. Convertido a NULL.
129,Id_cliente,ID 127 no existe en clients. Convertido a NULL.
129,linea_id,ID 3 no existe en lineas. Convertido a NULL.
130,Id_cliente,ID 128 no existe en clients. Convertido a NULL.
130,linea_id,ID 3 no existe en lineas. Convertido a NULL.
131,Id_cliente,ID 129 no existe en clients. Convertido a NULL.
131,linea_id,ID 3 no existe en lineas. Convertido a NULL.
132,Id_cliente,ID 130 no existe en clients. Convertido a NULL.
132,linea_id,ID 3 no existe en lineas. Convertido a NULL.
132,cuota,Decimal inválido. Convertido a NULL (nullable).
133,Id_cliente,ID 131 no existe en clients. Convertido a NULL.
133,linea_id,ID 3 no existe en lineas. Convertido a NULL.
134,Id_cliente,ID 132 no existe en clients. Convertido a NULL.
134,linea_id,ID 3 no existe en lineas. Convertido a NULL.
135,Id_cliente,ID 133 no existe en clients. Convertido a NULL.
135,linea_id,ID 3 no existe en lineas. Convertido a NULL.
136,Id_cliente,ID 134 no existe en clients. Convertido a NULL.
136,linea_id,ID 3 no existe en lineas. Convertido a NULL.
137,Id_cliente,ID 135 no existe en clients. Convertido a NULL.
137,linea_id,ID 3 no existe en lineas. Convertido a NULL.
138,Id_cliente,ID 136 no existe en clients. Convertido a NULL.
138,linea_id,ID 3 no existe en lineas. Convertido a NULL.
139,Id_cliente,ID 137 no existe en clients. Convertido a NULL.
139,linea_id,ID 3 no existe en lineas. Convertido a NULL.
140,Id_cliente,ID 138 no existe en clients. Convertido a NULL.
140,linea_id,ID 3 no existe en lineas. Convertido a NULL.
141,Id_cliente,ID 139 no existe en clients. Convertido a NULL.
141,linea_id,ID 3 no existe en lineas. Convertido a NULL.
142,Id_cliente,ID 140 no existe en clients. Convertido a NULL.
142,linea_id,ID 3 no existe en lineas. Convertido a NULL.
143,Id_cliente,ID 141 no existe en clients. Convertido a NULL.
143,linea_id,ID 3 no existe en lineas. Convertido a NULL.
144,Id_cliente,ID 142 no existe en clients. Convertido a NULL.
144,linea_id,ID 3 no existe en lineas. Convertido a NULL.
145,Id_cliente,ID 143 no existe en clients. Convertido a NULL.
145,linea_id,ID 3 no existe en lineas. Convertido a NULL.
146,Id_cliente,ID 144 no existe en clients. Convertido a NULL.
146,linea_id,ID 3 no existe en lineas. Convertido a NULL.
147,Id_cliente,ID 145 no existe en clients. Convertido a NULL.
147,linea_id,ID 3 no existe en lineas. Convertido a NULL.
148,Id_cliente,ID 146 no existe en clients. Convertido a NULL.
148,linea_id,ID 3 no existe en lineas. Convertido a NULL.
149,Id_cliente,ID 147 no existe en clients. Convertido a NULL.
149,linea_id,ID 3 no existe en lineas. Convertido a NULL.
150,Id_cliente,ID 148 no existe en clients. Convertido a NULL.
150,linea_id,ID 3 no existe en lineas. Convertido a NULL.
151,Id_cliente,ID 149 no existe en clients. Convertido a NULL.
151,linea_id,ID 3 no existe en lineas. Convertido a NULL.
152,Id_cliente,ID 150 no existe en clients. Convertido a NULL.
152,linea_id,ID 3 no existe en lineas. Convertido a NULL.
153,Id_cliente,ID 151 no existe en clients. Convertido a NULL.
153,linea_id,ID 3 no existe en lineas. Convertido a NULL.
154,Id_cliente,ID 152 no existe en clients. Convertido a NULL.
154,linea_id,ID 3 no existe en lineas. Convertido a NULL.
155,Id_cliente,ID 153 no existe en clients. Convertido a NULL.
155,linea_id,ID 3 no existe en lineas. Convertido a NULL.
156,Id_cliente,ID 154 no existe en clients. Convertido a NULL.
156,linea_id,ID 3 no existe en lineas. Convertido a NULL.
157,Id_cliente,ID 155 no existe en clients. Convertido a NULL.
157,linea_id,ID 3 no existe en lineas. Convertido a NULL.
158,Id_cliente,ID 156 no existe en clients. Convertido a NULL.
158,linea_id,ID 3 no existe en lineas. Convertido a NULL.
159,Id_cliente,ID 157 no existe en clients. Convertido a NULL.
159,linea_id,ID 3 no existe en lineas. Convertido a NULL.
160,Id_cliente,ID 158 no existe en clients. Convertido a NULL.
160,linea_id,ID 3 no existe en lineas. Convertido a NULL.
161,Id_cliente,ID 159 no existe en clients. Convertido a NULL.
161,linea_id,ID 3 no existe en lineas. Convertido a NULL.
162,Id_cliente,ID 160 no existe en clients. Convertido a NULL.
162,linea_id,ID 3 no existe en lineas. Convertido a NULL.
163,Id_cliente,ID 162 no existe en clients. Convertido a NULL.
163,linea_id,ID 3 no existe en lineas. Convertido a NULL.
164,Id_cliente,ID 163 no existe en clients. Convertido a NULL.
164,linea_id,ID 3 no existe en lineas. Convertido a NULL.
165,Id_cliente,ID 164 no existe en clients. Convertido a NULL.
165,linea_id,ID 3 no existe en lineas. Convertido a NULL.
166,Id_cliente,ID 165 no existe en clients. Convertido a NULL.
166,linea_id,ID 3 no existe en lineas. Convertido a NULL.
167,Id_cliente,ID 166 no existe en clients. Convertido a NULL.
167,linea_id,ID 3 no existe en lineas. Convertido a NULL.
168,Id_cliente,ID 167 no existe en clients. Convertido a NULL.
168,linea_id,ID 3 no existe en lineas. Convertido a NULL.
169,Id_cliente,ID 168 no existe en clients. Convertido a NULL.
169,linea_id,ID 3 no existe en lineas. Convertido a NULL.
170,Id_cliente,ID 169 no existe en clients. Convertido a NULL.
171,Id_cliente,ID 170 no existe en clients. Convertido a NULL.
171,linea_id,ID 3 no existe en lineas. Convertido a NULL.
172,Id_cliente,ID 171 no existe en clients. Convertido a NULL.
172,linea_id,ID 3 no existe en lineas. Convertido a NULL.
173,Id_cliente,ID 172 no existe en clients. Convertido a NULL.
174,Id_cliente,ID 173 no existe en clients. Convertido a NULL.
174,linea_id,ID 3 no existe en lineas. Convertido a NULL.
175,Id_cliente,ID 174 no existe en clients. Convertido a NULL.
175,linea_id,ID 3 no existe en lineas. Convertido a NULL.
176,Id_cliente,ID 175 no existe en clients. Convertido a NULL.
176,linea_id,ID 3 no existe en lineas. Convertido a NULL.
177,Id_cliente,ID 176 no existe en clients. Convertido a NULL.
177,linea_id,ID 3 no existe en lineas. Convertido a NULL.
178,Id_cliente,ID 177 no existe en clients. Convertido a NULL.
178,linea_id,ID 3 no existe en lineas. Convertido a NULL.
179,Id_cliente,ID 178 no existe en clients. Convertido a NULL.
179,linea_id,ID 3 no existe en lineas. Convertido a NULL.
180,Id_cliente,ID 179 no existe en clients. Convertido a NULL.
180,linea_id,ID 3 no existe en lineas. Convertido a NULL.
181,Id_cliente,ID 180 no existe en clients. Convertido a NULL.
181,linea_id,ID 3 no existe en lineas. Convertido a NULL.
182,Id_cliente,ID 181 no existe en clients. Convertido a NULL.
182,linea_id,ID 3 no existe en lineas. Convertido a NULL.
183,Id_cliente,ID 182 no existe en clients. Convertido a NULL.
183,linea_id,ID 3 no existe en lineas. Convertido a NULL.
184,Id_cliente,ID 183 no existe en clients. Convertido a NULL.
184,linea_id,ID 3 no existe en lineas. Convertido a NULL.
185,Id_cliente,ID 184 no existe en clients. Convertido a NULL.
185,linea_id,ID 3 no existe en lineas. Convertido a NULL.
186,Id_cliente,ID 185 no existe en clients. Convertido a NULL.
186,linea_id,ID 3 no existe en lineas. Convertido a NULL.
187,Id_cliente,ID 186 no existe en clients. Convertido a NULL.
187,linea_id,ID 3 no existe en lineas. Convertido a NULL.
188,Id_cliente,ID 187 no existe en clients. Convertido a NULL.
188,linea_id,ID 3 no existe en lineas. Convertido a NULL.
189,Id_cliente,ID 188 no existe en clients. Convertido a NULL.
189,linea_id,ID 3 no existe en lineas. Convertido a NULL.
190,Id_cliente,ID 189 no existe en clients. Convertido a NULL.
191,Id_cliente,ID 190 no existe en clients. Convertido a NULL.
191,linea_id,ID 3 no existe en lineas. Convertido a NULL.
192,Id_cliente,ID 191 no existe en clients. Convertido a NULL.
192,linea_id,ID 3 no existe en lineas. Convertido a NULL.
193,Id_cliente,ID 192 no existe en clients. Convertido a NULL.
193,linea_id,ID 3 no existe en lineas. Convertido a NULL.
194,Id_cliente,ID 193 no existe en clients. Convertido a NULL.
194,linea_id,ID 3 no existe en lineas. Convertido a NULL.
195,Id_cliente,ID 194 no existe en clients. Convertido a NULL.
195,linea_id,ID 3 no existe en lineas. Convertido a NULL.
196,Id_cliente,ID 195 no existe en clients. Convertido a NULL.
196,linea_id,ID 3 no existe en lineas. Convertido a NULL.
197,Id_cliente,ID 196 no existe en clients. Convertido a NULL.
197,linea_id,ID 3 no existe en lineas. Convertido a NULL.
198,Id_cliente,ID 197 no existe en clients. Convertido a NULL.
198,linea_id,ID 3 no existe en lineas. Convertido a NULL.
199,Id_cliente,ID 198 no existe en clients. Convertido a NULL.
199,linea_id,ID 3 no existe en lineas. Convertido a NULL.
200,Id_cliente,ID 199 no existe en clients. Convertido a NULL.
200,linea_id,ID 3 no existe en lineas. Convertido a NULL.
201,Id_cliente,ID 200 no existe en clients. Convertido a NULL.
201,linea_id,ID 3 no existe en lineas. Convertido a NULL.
202,Id_cliente,ID 201 no existe en clients. Convertido a NULL.
202,linea_id,ID 3 no existe en lineas. Convertido a NULL.
203,Id_cliente,ID 202 no existe en clients. Convertido a NULL.
203,linea_id,ID 3 no existe en lineas. Convertido a NULL.
204,Id_cliente,ID 203 no existe en clients. Convertido a NULL.
204,linea_id,ID 3 no existe en lineas. Convertido a NULL.
205,Id_cliente,ID 204 no existe en clients. Convertido a NULL.
205,linea_id,ID 3 no existe en lineas. Convertido a NULL.
206,Id_cliente,ID 205 no existe en clients. Convertido a NULL.
206,linea_id,ID 3 no existe en lineas. Convertido a NULL.
207,Id_cliente,ID 206 no existe en clients. Convertido a NULL.
207,linea_id,ID 3 no existe en lineas. Convertido a NULL.
208,Id_cliente,ID 207 no existe en clients. Convertido a NULL.
208,linea_id,ID 3 no existe en lineas. Convertido a NULL.
209,Id_cliente,ID 208 no existe en clients. Convertido a NULL.
209,linea_id,ID 3 no existe en lineas. Convertido a NULL.
210,Id_cliente,ID 209 no existe en clients. Convertido a NULL.
210,linea_id,ID 3 no existe en lineas. Convertido a NULL.
211,Id_cliente,ID 210 no existe en clients. Convertido a NULL.
211,linea_id,ID 3 no existe en lineas. Convertido a NULL.
212,Id_cliente,ID 211 no existe en clients. Convertido a NULL.
212,linea_id,ID 3 no existe en lineas. Convertido a NULL.
213,Id_cliente,ID 212 no existe en clients. Convertido a NULL.
213,linea_id,ID 3 no existe en lineas. Convertido a NULL.
214,Id_cliente,ID 213 no existe en clients. Convertido a NULL.
214,linea_id,ID 3 no existe en lineas. Convertido a NULL.
215,Id_cliente,ID 214 no existe en clients. Convertido a NULL.
215,linea_id,ID 3 no existe en lineas. Convertido a NULL.
216,Id_cliente,ID 215 no existe en clients. Convertido a NULL.
216,linea_id,ID 3 no existe en lineas. Convertido a NULL.
217,Id_cliente,ID 216 no existe en clients. Convertido a NULL.
217,linea_id,ID 3 no existe en lineas. Convertido a NULL.
218,Id_cliente,ID 217 no existe en clients. Convertido a NULL.
218,linea_id,ID 3 no existe en lineas. Convertido a NULL.
219,Id_cliente,ID 218 no existe en clients. Convertido a NULL.
219,linea_id,ID 3 no existe en lineas. Convertido a NULL.
220,Id_cliente,ID 219 no existe en clients. Convertido a NULL.
220,linea_id,ID 3 no existe en lineas. Convertido a NULL.
221,Id_cliente,ID 220 no existe en clients. Convertido a NULL.
221,linea_id,ID 3 no existe en lineas. Convertido a NULL.
222,Id_cliente,ID 221 no existe en clients. Convertido a NULL.
222,linea_id,ID 3 no existe en lineas. Convertido a NULL.
223,Id_cliente,ID 222 no existe en clients. Convertido a NULL.
224,Id_cliente,ID 223 no existe en clients. Convertido a NULL.
224,linea_id,ID 3 no existe en lineas. Convertido a NULL.
225,Id_cliente,ID 224 no existe en clients. Convertido a NULL.
225,linea_id,ID 3 no existe en lineas. Convertido a NULL.
226,Id_cliente,ID 225 no existe en clients. Convertido a NULL.
226,linea_id,ID 3 no existe en lineas. Convertido a NULL.
227,Id_cliente,ID 226 no existe en clients. Convertido a NULL.
227,linea_id,ID 3 no existe en lineas. Convertido a NULL.
228,Id_cliente,ID 227 no existe en clients. Convertido a NULL.
228,linea_id,ID 3 no existe en lineas. Convertido a NULL.
229,Id_cliente,ID 228 no existe en clients. Convertido a NULL.
229,linea_id,ID 3 no existe en lineas. Convertido a NULL.
230,Id_cliente,ID 229 no existe en clients. Convertido a NULL.
230,linea_id,ID 3 no existe en lineas. Convertido a NULL.
231,Id_cliente,ID 230 no existe en clients. Convertido a NULL.
231,linea_id,ID 3 no existe en lineas. Convertido a NULL.
232,Id_cliente,ID 231 no existe en clients. Convertido a NULL.
232,linea_id,ID 3 no existe en lineas. Convertido a NULL.
233,Id_cliente,ID 232 no existe en clients. Convertido a NULL.
